City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
busselton,76,AU,1535667864,100,-33.64,115.35,54.56,10.96
punta arenas,40,CL,1535666400,75,-53.16,-70.91,41.0,14.99
tasiilaq,92,GL,1535665800,75,65.61,-37.64,42.8,40.26
arraial do cabo,0,BR,1535662800,65,-22.97,-42.02,77.0,21.92
jamestown,92,AU,1535667263,99,-33.21,138.6,47.09,15.66
inuvik,90,CA,1535662800,54,68.36,-133.71,53.6,3.36
hilo,90,US,1535662560,79,19.71,-155.08,77.0,6.93
qaanaaq,0,GL,1535667279,100,77.48,-69.36,33.23,2.8
bay roberts,75,CA,1535662800,82,47.58,-53.28,57.2,21.92
corral nuevo,75,MX,1535665380,74,18.11,-95.11,84.2,17.22
mar del plata,0,AR,1535667866,41,-46.43,-67.52,50.6,4.14
vila,75,IT,1535665800,69,45.18,8.4,73.4,3.36
cardenas,20,MX,1535665320,39,27.62,-110.24,96.8,4.59
guerrero negro,0,MX,1535667867,53,27.97,-114.04,86.06,9.28
pevek,64,RU,1535667868,96,69.7,170.27,45.02,4.36
albany,1,US,1535666040,68,42.65,-73.75,78.98,12.75
hasaki,20,JP,1535664600,78,35.73,140.83,82.4,5.82
luganville,92,VU,1535667869,100,-15.51,167.18,77.15,16.44
kruisfontein,0,ZA,1535667869,86,-34.0,24.73,60.05,2.35
rikitea,100,PF,1535667869,100,-23.12,-134.97,66.89,17.67
east london,0,ZA,1535667870,92,-33.02,27.91,71.12,20.69
glendive,1,US,1535667300,20,47.11,-104.71,87.08,11.41
bonfim,0,BR,1535662800,43,-20.33,-44.24,73.4,8.05
the valley,40,AI,1535666400,83,18.22,-63.06,80.6,17.22
hambantota,76,LK,1535667871,99,6.12,81.12,79.94,16.67
castro,0,CL,1535667872,64,-42.48,-73.76,50.96,3.47
butaritari,68,KI,1535667872,100,3.07,172.79,82.91,1.57
kapaa,40,US,1535666160,76,22.08,-159.32,84.02,18.34
zatoka,75,PL,1535666400,82,50.04,20.52,66.2,5.82
sayville,20,US,1535666160,49,40.74,-73.08,89.06,10.29
mayo,90,CA,1535666100,81,63.59,-135.9,46.4,3.58
mataura,32,NZ,1535667874,89,-46.19,168.86,37.64,2.68
hervey bay,0,AU,1535667874,97,-25.3,152.85,64.46,10.74
saint-philippe,40,CA,1535666100,59,45.36,-73.48,69.8,6.93
marawi,64,PH,1535667875,96,8.0,124.29,66.98,1.57
airai,56,TL,1535667875,96,-8.93,125.41,66.53,1.68
maxixe,0,MZ,1535667875,100,-23.86,35.35,65.54,7.61
torbay,75,CA,1535662800,82,47.66,-52.73,57.2,21.92
santa maria,76,BR,1535667832,94,-29.69,-53.81,65.54,4.7
emmett,1,US,1535667300,18,43.87,-116.5,87.08,9.17
cidreira,24,BR,1535667877,76,-30.17,-50.22,69.41,5.7
los algarrobos,75,EC,1535666400,33,-3.25,-79.94,89.6,9.17
nouadhibou,48,MR,1535667760,55,20.93,-17.03,85.52,14.54
ulladulla,0,AU,1535662800,93,-35.36,150.48,41.0,1.12
harper,75,US,1535666100,34,30.3,-99.24,98.06,9.17
verkhnevilyuysk,48,RU,1535667879,76,63.45,120.31,56.0,7.05
dikson,80,RU,1535667879,100,73.51,80.55,41.6,9.62
bredasdorp,32,ZA,1535662800,88,-34.53,20.04,62.6,2.24
lompoc,1,US,1535666160,53,34.64,-120.46,86.0,17.22
thompson,75,CA,1535662800,87,55.74,-97.86,60.8,6.93
lampang,40,TH,1535666400,88,18.29,99.49,75.2,2.57
bluff,0,AU,1535667880,88,-23.58,149.07,53.57,7.38
halifax,90,CA,1535662800,100,44.65,-63.58,64.4,12.75
puerto narino,75,CO,1535666400,70,-3.77,-70.38,87.8,2.24
nanortalik,0,GL,1535667881,95,60.14,-45.24,41.06,44.96
namibe,88,AO,1535667882,100,-15.19,12.15,65.0,10.07
eureka,90,US,1535666100,86,40.8,-124.16,62.6,5.82
camocim,8,BR,1535667882,45,-2.9,-40.84,86.42,5.7
atuona,0,PF,1535667667,99,-9.8,-139.03,79.67,19.01
golden,75,CA,1535665920,82,51.3,-116.96,55.4,8.05
ushuaia,40,AR,1535666400,86,-54.81,-68.31,37.4,27.51
tuktoyaktuk,90,CA,1535663880,87,69.44,-133.03,42.8,9.17
smidovich,8,RU,1535667884,82,48.6,133.81,54.65,5.93
almaznyy,68,RU,1535667884,41,48.03,40.04,74.99,10.74
kaitangata,24,NZ,1535667884,75,-46.28,169.85,39.98,4.36
lumeje,0,AO,1535667885,30,-11.56,20.78,70.94,10.85
tura,88,IN,1535667885,94,25.52,90.21,77.6,3.02
lata,88,IN,1535667885,100,30.78,78.62,58.07,1.68
chuy,92,UY,1535667837,96,-33.69,-53.46,56.36,18.9
gorin,75,US,1535666100,73,40.36,-92.02,80.06,6.93
sitka,0,US,1535667886,29,37.17,-99.65,100.73,22.03
duliagaon,80,IN,1535667886,98,27.37,95.32,75.35,1.57
port blair,68,IN,1535667887,99,11.67,92.75,81.29,22.59
matagami,68,NG,1535667887,96,9.67,8.4,65.27,2.57
puerto ayora,0,EC,1535666400,50,-0.74,-90.35,78.8,19.46
vaini,92,IN,1535667888,98,15.34,74.49,68.51,4.47
puerto del rosario,20,ES,1535666400,73,28.5,-13.86,73.4,18.34
angoche,32,MZ,1535667888,100,-16.23,39.91,77.15,14.43
natal,20,BR,1535666400,69,-5.81,-35.21,77.0,14.99
flinders,0,AU,1535662800,93,-34.58,150.85,41.0,1.12
khatanga,88,RU,1535667889,64,71.98,102.47,36.2,18.12
port elizabeth,1,US,1535666160,50,39.31,-74.98,89.96,6.93
bahia blanca,0,AR,1535667837,63,-38.72,-62.27,49.7,15.43
egvekinot,8,RU,1535667890,67,66.32,-179.17,51.59,4.92
lebu,100,ET,1535667890,97,8.96,38.73,53.12,2.57
uhlove,0,UA,1535667891,91,44.82,33.6,70.13,2.91
puro,56,PH,1535667891,94,13.13,123.76,75.44,3.13
kozulka,0,UA,1535666400,87,50.04,23.8,57.2,2.24
cape town,0,ZA,1535662800,93,-33.93,18.42,50.0,2.24
buchanan,75,LR,1535666400,94,5.88,-10.05,77.0,4.59
hermanus,24,ZA,1535667892,89,-34.42,19.24,44.66,2.35
kaka,0,TM,1535667892,76,37.35,59.62,46.73,2.35
mandalgovi,32,MN,1535667893,64,45.76,106.27,59.69,8.61
neiafu,40,TO,1535666400,74,-18.65,-173.98,80.6,13.87
yellowknife,75,CA,1535662800,62,62.45,-114.38,55.4,6.93
marsh harbour,48,BS,1535667886,96,26.54,-77.06,84.8,15.88
idlib,0,SY,1535665800,74,35.93,36.64,78.8,12.75
milkovo,0,BG,1535666400,50,41.53,24.68,75.2,10.29
new norfolk,75,AU,1535666400,87,-42.78,147.06,46.4,3.36
cabo san lucas,40,MX,1535665320,70,22.89,-109.91,87.8,8.05
longyearbyen,75,NO,1535665800,70,78.22,15.63,46.4,26.4
lasa,20,CY,1535666400,78,34.92,32.53,78.8,4.7
sokna,0,NO,1535667896,77,60.24,9.92,55.46,6.15
nueva loja,0,EC,1535666400,65,0.08,-76.88,82.4,3.36
isabela,92,PH,1535667897,96,10.2,122.99,74.54,3.13
san quintin,75,PH,1535666400,88,17.54,120.52,75.2,2.24
pochutla,75,MX,1535665740,66,15.74,-96.47,87.8,9.17
antipino,0,RU,1535664600,93,57.11,65.76,42.8,6.71
acapulco,75,MX,1535665440,62,16.86,-99.88,87.8,6.93
lavrentiya,0,RU,1535667899,96,65.58,-170.99,45.02,13.65
vila velha,40,BR,1535666400,78,-3.71,-38.6,78.8,13.87
bambous virieux,40,MU,1535662800,68,-20.34,57.76,69.8,13.87
yar-sale,0,RU,1535667899,100,66.83,70.83,43.04,12.19
san lorenzo,0,PY,1535666400,43,-25.34,-57.51,87.8,6.93
houma,12,CN,1535667901,90,35.63,111.36,66.62,2.35
alpena,1,US,1535667300,60,45.06,-83.43,64.94,5.82
ribeira grande,80,PT,1535667902,96,38.52,-28.7,76.97,13.87
avarua,40,CK,1535666400,60,-21.21,-159.78,75.2,24.16
monrovia,75,LR,1535666400,94,6.33,-10.8,77.0,5.14
salalah,90,OM,1535665800,100,17.01,54.1,75.2,3.36
pisco,0,PE,1535666400,30,-13.71,-76.2,71.6,17.22
yarim,44,YE,1535667903,33,14.3,44.38,65.63,3.91
severo-kurilsk,0,RU,1535667904,99,50.68,156.12,48.98,3.58
barrow,88,AR,1535667904,51,-38.31,-60.23,49.16,13.87
san cristobal,20,EC,1535666400,51,-0.39,-78.55,62.6,19.46
la palma,56,CO,1535667906,76,5.36,-74.39,76.7,1.68
ekibastuz,56,KZ,1535667906,66,51.72,75.32,57.62,7.38
saskylakh,68,RU,1535667906,92,71.97,114.09,41.42,13.76
himensulan,90,PH,1535666400,88,10.6,124.28,78.8,4.7
narsaq,0,GL,1535665800,48,60.91,-46.05,44.6,23.04
zagare,0,LT,1535665800,87,56.36,23.25,57.2,5.82
hami,0,CN,1535667908,66,42.84,93.51,61.67,5.37
hobart,75,AU,1535666400,87,-42.88,147.33,46.4,3.36
chernyshevskiy,0,RU,1535667908,91,63.01,112.47,50.96,5.59
victoria,75,BN,1535666400,88,5.28,115.24,80.6,3.36
presidencia roque saenz pena,12,AR,1535667909,58,-26.79,-60.44,84.35,3.36
ternate,75,PH,1535666400,100,14.29,120.72,78.8,7.61
luderitz,24,NA,1535667910,94,-26.65,15.16,53.3,4.36
aklavik,90,CA,1535662800,81,68.22,-135.01,53.6,6.93
tabuk,88,PH,1535667731,95,17.41,121.44,67.7,1.23
kahului,40,US,1535666160,59,20.89,-156.47,86.0,18.34
skibbereen,75,IE,1535666400,93,51.55,-9.27,53.6,8.05
norman wells,75,CA,1535662800,54,65.28,-126.83,59.0,14.99
sydney mines,75,CA,1535662800,82,46.24,-60.22,68.0,16.11
nkowakowa,0,ZA,1535667912,79,-23.89,30.29,40.97,2.13
karratha,0,AU,1535667912,51,-20.74,116.85,53.48,9.95
fairbanks,90,US,1535666280,90,64.84,-147.72,51.08,18.34
verkh-chebula,0,RU,1535667912,86,56.03,87.61,43.04,2.46
alofi,75,NU,1535666400,74,-19.06,-169.92,78.8,13.87
talnakh,0,RU,1535667913,93,69.49,88.39,35.3,17.34
pudozh,92,RU,1535667913,73,61.81,36.54,64.82,12.75
ancud,0,CL,1535667914,58,-41.87,-73.83,53.21,3.58
roma,20,IT,1535666100,88,41.89,12.48,73.4,3.36
zhireken,8,RU,1535667915,87,52.82,117.29,46.19,2.35
hirara,20,JP,1535664600,94,24.8,125.28,77.0,3.36
kavieng,76,PG,1535667915,100,-2.57,150.8,81.2,7.38
hithadhoo,68,MV,1535667916,100,-0.6,73.08,83.36,2.46
tessalit,0,ML,1535667916,28,20.2,1.01,83.99,3.36
grand gaube,40,MU,1535662800,68,-20.01,57.66,69.8,13.87
faya,5,SA,1535662800,64,18.39,42.45,68.0,9.17
majene,12,ID,1535667917,99,-3.54,118.97,81.65,14.65
impfondo,36,CD,1535667917,85,1.62,18.06,76.43,2.91
mackay,90,CA,1535662800,71,53.65,-115.58,57.2,13.87
shalakusha,32,RU,1535667918,86,62.23,40.26,59.6,9.17
vanavara,0,RU,1535667918,89,60.35,102.28,50.33,5.14
cascais,0,PT,1535666400,72,38.7,-9.42,69.8,16.11
maiduguri,44,NG,1535667918,96,11.84,13.15,74.36,7.16
praia da vitoria,20,PT,1535666400,78,38.73,-27.07,77.0,11.74
ola,75,RU,1535664600,87,59.58,151.3,53.6,4.47
ilulissat,75,GL,1535665800,95,69.22,-51.1,39.2,6.93
fort nelson,75,CA,1535662800,58,58.81,-122.69,55.4,4.7
faanui,20,PF,1535667920,100,-16.48,-151.75,78.32,27.51
rakoshyno,0,UA,1535667920,76,48.47,22.6,56.54,2.68
talaya,8,RU,1535667920,86,55.79,84.89,45.11,2.68
sorland,76,NO,1535667921,100,67.67,12.69,52.76,20.24
sao joao da barra,0,BR,1535666400,83,-21.64,-41.05,71.6,6.93
kodiak,1,US,1535665980,74,39.95,-94.76,78.98,12.75
port alfred,32,ZA,1535667922,73,-33.59,26.89,69.32,13.87
shushenskoye,0,RU,1535664600,93,53.33,91.95,57.2,2.24
palmer,75,AU,1535666400,81,-34.85,139.16,53.6,13.87
nikolskoye,12,RU,1535664600,93,59.7,30.79,55.4,2.57
lensk,76,RU,1535667923,89,60.71,114.91,53.93,4.7
antalaha,68,MG,1535667923,97,-14.9,50.28,69.86,11.63
san patricio,64,PY,1535667924,92,-26.98,-56.83,72.65,2.01
utica,40,US,1535662380,70,43.1,-75.23,71.06,6.93
upernavik,76,GL,1535667924,100,72.79,-56.15,36.83,14.2
contamana,8,PE,1535667789,31,-7.35,-75.01,96.23,2.68
pringsewu,20,ID,1535667925,93,-5.36,104.98,73.46,2.13
asyut,0,EG,1535667925,49,27.18,31.19,77.87,5.26
puerto escondido,75,MX,1535665500,66,15.86,-97.07,87.8,9.17
ostrovnoy,48,RU,1535667926,66,68.05,39.51,53.3,16.89
rio gallegos,40,AR,1535666400,65,-51.62,-69.22,41.0,9.17
falmouth,0,GB,1535665800,87,50.16,-5.07,51.8,3.02
oksfjord,0,NO,1535665800,87,70.24,22.35,48.2,9.17
suhbaatar,44,MN,1535667927,96,50.23,106.21,53.3,2.91
chokurdakh,0,RU,1535667928,61,70.62,147.9,51.59,12.86
sambava,80,MG,1535667928,100,-14.27,50.17,72.92,18.45
santo tomas,64,PH,1535667928,100,17.4,121.77,71.03,2.01
arona,75,IT,1535667600,73,45.76,8.56,75.2,1.12
herat,0,AF,1535667929,41,34.35,62.22,54.92,7.72
yafran,0,LY,1535667929,53,32.06,12.53,74.0,8.5
japura,92,ID,1535667930,99,-0.42,102.29,70.49,2.35
plettenberg bay,0,ZA,1535667930,95,-34.05,23.37,58.7,7.16
qingdao,75,CN,1535666400,78,36.09,120.35,73.4,13.42
wewak,68,PG,1535667931,99,-3.55,143.63,72.47,2.01
lipin bor,76,RU,1535667931,83,60.26,37.97,64.1,10.07
provideniya,75,RU,1535664600,71,64.42,-173.23,50.0,2.24
fortuna,40,ES,1535666400,78,38.18,-1.13,80.6,8.05
gargunnock,0,GB,1535665800,93,56.12,-4.08,51.8,4.7
san ignacio,90,CL,1535666400,87,-36.8,-72.03,55.4,4.7
padang,56,ID,1535667728,100,-0.92,100.36,76.97,5.93
kodinsk,0,RU,1535667933,97,58.6,99.18,47.0,2.46
gamba,80,CN,1535667933,90,28.28,88.52,32.6,2.57
pekan,75,MY,1535666400,94,3.49,103.39,75.2,3.36
taormina,20,IT,1535666100,83,37.85,15.29,77.0,3.36
ahuimanu,20,US,1535666220,63,21.44,-157.84,86.0,16.11
banamba,0,ML,1535667934,82,13.55,-7.45,77.69,7.38
kivsharivka,0,UA,1535667935,43,49.63,37.68,67.52,7.72
yulara,0,AU,1535666400,48,-25.24,130.99,46.4,7.27
bridlington,0,GB,1535665800,93,54.08,-0.19,51.8,1.12
shambu,92,ET,1535667936,99,9.57,37.1,57.89,1.57
arman,75,RU,1535664600,87,59.7,150.17,53.6,4.47
tashtagol,12,RU,1535667936,90,52.76,87.85,42.77,2.24
tangier,0,GB,1535665800,76,51.02,-3.11,57.2,4.7
cayambe,8,EC,1535667937,67,0.04,-78.14,56.99,1.9
pacific grove,40,US,1535666100,60,36.62,-121.92,75.2,10.29
esperance,20,TT,1535666400,79,10.24,-61.45,84.2,6.93
monroe,1,US,1535667300,61,41.91,-83.4,75.92,5.82
sala,92,SE,1535665800,87,59.92,16.61,59.0,3.36
port hardy,20,CA,1535662800,87,50.7,-127.42,57.2,5.82
boralday,40,KZ,1535664600,81,43.36,76.86,50.0,4.47
westport,8,IE,1535667939,85,53.8,-9.52,54.92,8.16
loandjili,40,CG,1535662800,94,-4.77,11.87,69.8,2.24
gilgit,8,PK,1535667940,63,35.92,74.31,45.56,0.67
caravelas,12,BR,1535667940,99,-17.73,-39.27,76.07,11.63
barabash,75,RU,1535664600,100,43.19,131.5,66.2,4.47
cherskiy,8,RU,1535667940,72,68.75,161.3,47.18,4.59
cirebon,64,ID,1535667941,100,-6.71,108.56,76.79,13.65
kloulklubed,75,PW,1535662500,83,7.04,134.26,78.8,5.82
atar,48,MR,1535667941,83,20.52,-13.05,82.82,2.68
ixtapa,20,MX,1535665440,66,20.71,-105.21,89.6,9.17
shingu,56,JP,1535667942,97,33.72,135.99,80.39,14.76
parana,20,BR,1535666400,55,-7.52,-72.89,87.8,4.7
mahebourg,40,MU,1535662800,68,-20.41,57.7,69.8,13.87
carnarvon,64,ZA,1535667943,29,-30.97,22.13,50.6,7.27
bandundu,24,CD,1535667943,69,-3.32,17.38,78.41,6.6
edd,36,ER,1535667944,54,13.93,41.69,80.39,2.57
yeppoon,0,AU,1535666400,77,-23.13,150.74,64.4,5.59
kabalo,64,CD,1535667944,41,-6.05,26.92,78.05,7.72
bhuj,88,IN,1535667944,89,23.25,69.67,77.51,12.53
vostok,92,RU,1535667945,99,46.45,135.83,59.06,2.35
annau,0,TM,1535666400,30,37.89,58.52,69.8,4.7
whittlesea,75,AU,1535666940,62,-37.51,145.12,53.6,18.34
clyde river,40,CA,1535662800,75,70.47,-68.59,41.0,17.22
alexandria,40,US,1535666100,50,31.31,-92.44,93.02,6.93
half moon bay,75,US,1535666160,65,37.46,-122.43,75.02,13.87
kualakapuas,12,ID,1535662800,100,-3.01,114.39,71.6,2.24
general pico,48,AR,1535667947,39,-35.66,-63.75,54.92,19.35
ayorou,44,NE,1535667947,66,14.73,0.92,81.29,6.26
wanning,75,AT,1535665800,93,48.64,13.53,59.0,2.24
ternovka,88,RU,1535667948,61,51.69,41.59,67.97,12.75
tiznit,0,MA,1535667948,90,29.7,-9.73,69.05,3.91
bethel,90,US,1535665980,92,60.79,-161.76,51.08,21.92
serov,0,RU,1535667949,82,59.61,60.57,44.03,3.91
komsomolskiy,8,RU,1535667950,87,67.55,63.78,36.65,2.91
agadez,44,NE,1535667950,65,16.97,7.99,79.22,7.16
tuatapere,0,NZ,1535667951,100,-46.13,167.69,43.4,5.48
ugoofaaru,64,MV,1535667951,100,5.67,73.0,81.56,12.97
tabou,88,CI,1535667952,100,4.42,-7.36,77.96,10.07
san jose,24,PH,1535667953,100,15.79,120.99,70.31,0.78
guisa,40,CU,1535665800,74,20.25,-76.54,82.4,11.41
santa helena de goias,8,BR,1535667954,27,-17.81,-50.6,85.43,4.59
mayya,0,RU,1535664600,93,61.74,130.28,53.6,2.24
merauke,76,ID,1535667954,91,-8.49,140.4,76.34,7.94
placido de castro,8,BR,1535667955,43,-10.34,-67.19,91.64,2.91
sioux lookout,75,CA,1535662800,50,50.1,-91.92,75.2,10.29
